Traceback (most recent call last):
  File "<string>", line 5, in <module>
  File "D:\4-2026\backend\main.py", line 6, in <module>
    from routers import capture, recognition, speech
  File "D:\4-2026\backend\routers\recognition.py", line 6, in <module>
    from services import recognition_service, speech_service
  File "D:\4-2026\backend\services\recognition_service.py", line 16, in <module>
    def get_latest_keypoint_file() -> str | None:
TypeError: unsupported operand type(s) for |: 'type' and 'NoneType'
unsupported operand type(s) for |: 'type' and 'NoneType'[2026-04-22 15:02:53] missing audio: ا
[2026-04-22 15:02:54] missing audio: ا
[2026-04-22 15:02:55] missing audio: ا
[2026-04-22 15:02:55] missing audio: ا
[2026-04-22 15:02:55] missing audio: ا
[2026-04-22 15:02:56] missing audio: ا
[2026-04-22 15:02:56] missing audio: ا
[2026-04-22 15:02:56] missing audio: ا
[2026-04-22 15:02:56] missing audio: ا
[2026-04-22 15:02:57] missing audio: ا
[2026-04-22 15:02:57] missing audio: ا
[2026-04-22 15:02:57] missing audio: ا
[2026-04-22 15:02:58] missing audio: ا
[2026-04-22 15:02:58] missing audio: ا
[2026-04-22 15:02:58] missing audio: ا
[2026-04-22 15:02:58] missing audio: ا
[2026-04-22 15:02:58] missing audio: ا
[2026-04-22 15:02:58] missing audio: ا
[2026-04-22 15:02:59] missing audio: ا
[2026-04-22 15:03:00] missing audio: ا
[2026-04-22 15:03:00] missing audio: ا
[2026-04-22 15:05:18] missing audio: اا
[2026-04-22 15:05:19] missing audio: اا
[2026-04-22 15:05:19] missing audio: اا
[2026-04-22 15:05:20] missing audio: اا
[2026-04-22 15:05:20] missing audio: اا
[2026-04-22 15:05:20] missing audio: اا
[2026-04-22 15:06:18] missing audio: اا
[2026-04-22 15:06:19] missing audio: اا
[2026-04-22 15:06:21] missing audio: اا
[2026-04-22 15:06:22] missing audio: اا
[2026-04-22 15:06:22] missing audio: اا
[2026-04-22 15:06:22] missing audio: اا
[2026-04-22 15:06:22] missing audio: اا
[2026-04-22 15:06:22] missing audio: اا
[2026-04-22 15:06:22] missing audio: اا
[2026-04-22 15:06:23] missing audio: اا
[2026-04-22 15:06:23] missing audio: اا
[2026-04-22 15:06:24] missing audio: اا
[2026-04-22 15:06:24] missing audio: اا
[2026-04-22 15:06:24] missing audio: اا
[2026-04-22 15:06:24] missing audio: اا
[2026-04-22 15:06:24] missing audio: اا
[2026-04-22 15:06:24] missing audio: اا
[2026-04-22 15:06:25] missing audio: اا
[2026-04-22 15:07:30] missing audio: نام
[2026-04-22 15:07:33] missing audio: اا
[2026-04-22 15:07:33] missing audio: نام
[2026-04-22 15:07:34] missing audio: اا
[2026-04-22 15:07:34] missing audio: نام
[2026-04-22 15:07:34] missing audio: اا
[2026-04-22 15:07:35] missing audio: نام
[2026-04-22 15:07:35] missing audio: اا
[2026-04-22 15:07:35] missing audio: نام
[2026-04-22 15:07:35] missing audio: اا
[2026-04-22 15:07:35] missing audio: نام
[2026-04-22 15:07:48] missing audio: اا
[2026-04-22 15:07:48] missing audio: نام
[2026-04-22 15:07:49] missing audio: اا
[2026-04-22 15:07:49] missing audio: نام
[2026-04-22 15:07:49] missing audio: اا
[2026-04-22 15:07:49] missing audio: نام
[2026-04-22 15:07:49] missing audio: اا
[2026-04-22 15:07:49] missing audio: نام
[2026-04-22 15:07:49] missing audio: اا
[2026-04-22 15:07:49] missing audio: نام
[2026-04-22 15:08:24] missing audio: اا
[2026-04-22 15:08:24] missing audio: نام
[2026-04-22 15:08:25] missing audio: اا
[2026-04-22 15:08:25] missing audio: نام
[2026-04-22 15:08:25] missing audio: اا
[2026-04-22 15:08:25] missing audio: نام
[2026-04-22 15:08:25] missing audio: اا
[2026-04-22 15:08:25] missing audio: نام
[2026-04-22 15:08:25] missing audio: اا
[2026-04-22 15:08:25] missing audio: نام
[2026-04-22 15:08:25] missing audio: اا
[2026-04-22 15:08:25] missing audio: نام
[2026-04-22 15:08:26] missing audio: اا
[2026-04-22 15:08:26] missing audio: نام
[2026-04-22 15:08:27] missing audio: اا
[2026-04-22 15:08:27] missing audio: نام
[2026-04-22 15:08:27] missing audio: اا
[2026-04-22 15:08:27] missing audio: نام
[2026-04-22 15:08:27] missing audio: اا
[2026-04-22 15:08:27] missing audio: نام
[2026-04-22 15:08:27] missing audio: اا
[2026-04-22 15:08:27] missing audio: نام
[2026-04-22 15:19:34] missing audio: اا
[2026-04-22 15:19:34] missing audio: نام
[2026-04-22 15:19:35] missing audio: اا
[2026-04-22 15:19:35] missing audio: نام
[2026-04-22 15:19:59] missing audio: ج‬
[2026-04-22 15:20:00] missing audio: ج‬
[2026-04-22 15:20:01] missing audio: ج‬
[2026-04-22 15:20:01] missing audio: ج‬
[2026-04-22 15:20:01] missing audio: ج‬
[2026-04-22 15:20:01] missing audio: ج‬
[2026-04-22 15:20:01] missing audio: ج‬
[2026-04-22 15:20:01] missing audio: ج‬
[2026-04-22 15:20:02] missing audio: ج‬
[2026-04-22 15:20:02] missing audio: ج‬
[2026-04-22 15:20:02] missing audio: ج‬
[2026-04-22 15:20:02] missing audio: ج‬
[2026-04-22 15:20:02] missing audio: ج‬
[2026-04-22 15:20:04] missing audio: ج‬
[2026-04-22 15:20:05] missing audio: ج‬
[2026-04-22 15:20:05] missing audio: ج‬
[2026-04-22 15:20:05] missing audio: ج‬
[2026-04-22 15:20:05] missing audio: ج‬
[2026-04-22 15:20:05] missing audio: ج‬
[2026-04-22 15:20:05] missing audio: ج‬
[2026-04-22 15:20:06] missing audio: ج‬
[2026-04-22 15:20:06] missing audio: ج‬
[2026-04-22 15:20:06] missing audio: ج‬
[2026-04-22 15:20:06] missing audio: ج‬
[2026-04-22 15:20:06] missing audio: ج‬
[2026-04-22 15:20:13] missing audio: ج‬
[2026-04-22 15:20:13] missing audio: ج‬
[2026-04-22 15:20:14] missing audio: ج‬
[2026-04-22 15:20:14] missing audio: ج‬
[2026-04-22 15:20:14] missing audio: ج‬
[2026-04-22 15:20:14] missing audio: ج‬
[2026-04-22 15:20:14] missing audio: ج‬
[2026-04-22 15:20:14] missing audio: ج‬
[2026-04-22 15:20:14] missing audio: ج‬
[2026-04-22 15:20:14] missing audio: ج‬
[2026-04-22 15:20:14] missing audio: ج‬
[2026-04-22 15:20:14] missing audio: ج‬
[2026-04-22 15:20:15] missing audio: ج‬
[2026-04-22 15:20:15] missing audio: ج‬
[2026-04-22 15:20:15] missing audio: ج‬
[2026-04-22 15:20:15] missing audio: ج‬
[2026-04-22 15:20:15] missing audio: ج‬
[2026-04-22 15:20:15] missing audio: ج‬
[2026-04-22 15:20:15] missing audio: ج‬
[2026-04-22 15:20:15] missing audio: ج‬
[2026-04-22 15:20:15] missing audio: ج‬
[2026-04-22 15:20:15] missing audio: ج‬
[2026-04-22 15:23:37] missing audio: ج‬
[2026-04-22 15:23:38] missing audio: ج‬
[2026-04-22 15:23:38] missing audio: س‬ٹ‬
[2026-04-22 15:23:39] missing audio: جانتا
[2026-04-22 15:23:43] missing audio: س‬ٹ‬
[2026-04-22 15:23:44] missing audio: س‬ٹ‬
[2026-04-22 15:23:44] missing audio: جانتا
[2026-04-22 15:23:44] missing audio: جانتا
[2026-04-22 15:23:45] missing audio: س‬ٹ‬
[2026-04-22 15:23:46] missing audio: جانتا
[2026-04-22 15:23:47] missing audio: س‬ٹ‬
[2026-04-22 15:23:48] missing audio: جانتا
[2026-04-22 15:23:50] missing audio: جانتا
[2026-04-22 15:23:51] missing audio: جانتا
[2026-04-22 15:23:51] missing audio: جانتا
[2026-04-22 15:23:52] missing audio: جانتا
[2026-04-22 15:23:52] missing audio: جانتا
[2026-04-22 15:23:52] missing audio: جانتا
[2026-04-22 15:23:53] missing audio: جانتا
[2026-04-22 15:24:50] missing audio: کياآپ
[2026-04-22 15:24:51] missing audio: کياآپ
[2026-04-22 16:44:31] missing audio: و‬
[2026-04-22 16:44:32] missing audio: و‬
[2026-04-22 16:44:33] missing audio: و‬
[2026-04-22 16:44:33] missing audio: و‬
[2026-04-22 16:44:33] missing audio: و‬
[2026-04-22 16:44:33] missing audio: و‬
[2026-04-22 16:44:33] missing audio: و‬
[2026-04-22 16:47:28] missing audio: ح‬
[2026-04-22 16:47:30] missing audio: ح‬
[2026-04-22 16:47:32] missing audio: ح‬
[2026-04-22 16:49:00] missing audio: ح‬
[2026-04-22 16:49:13] missing audio: ح‬
